iter	Passed	Remaining
443	1234	2936
444	1237	2933
445	1240	2931
446	1243	2928
447	1246	2926
448	1249	2924
449	1252	2922
450	1255	2920
451	1258	2917
452	1260	2914
453	1263	2912
454	1266	2909
455	1269	2906
456	1272	2903
457	1274	2900
458	1277	2897
459	1280	2894
460	1283	2891
461	1285	2888
462	1288	2885
463	1291	2882
464	1293	2879
465	1296	2876
466	1299	2874
467	1302	2871
468	1305	2869
469	1308	2867
470	1312	2866
471	1315	2864
472	1317	2861
473	1320	2859
474	1324	2857
475	1327	2855
476	1330	2852
477	1332	2849
478	1335	2847
479	1338	2844
480	1341	2841
481	1344	2838
482	1346	2835
483	1349	2832
484	1352	2830
485	1355	2827
486	1357	2824
487	1360	2821
488	1363	2818
489	1366	2816
490	1369	2813
491	1371	2810
492	1374	2808
493	1377	2806
494	1380	2803
495	1383	2800
496	1386	2797
497	1389	2795
498	1392	2792
499	1394	2789
500	1397	2786
501	1400	2783
502	1403	2781
503	1405	2778
504	1408	2775
505	1411	2772
506	1414	2769
507	1416	2766
508	1419	2763
509	1422	2760
510	1425	2758
511	1428	2755
512	1430	2753
513	1433	2750
514	1436	2747
515	1439	2744
516	1442	2742
517	1445	2739
518	1447	2736
519	1450	2734
520	1453	2731
521	1456	2727
522	1458	2725
523	1461	2722
524	1464	2718
525	1466	2716
526	1469	2713
527	1472	2710
528	1475	2707
529	1477	2704
530	1480	2702
531	1483	2699
532	1486	2696
533	1488	2693
534	1491	2690
535	1494	2686
536	1496	2683
537	1499	2680
538	1502	2678
539	1504	2675
540	1507	2672
541	1510	2669
542	1513	2667
543	1516	2664
544	1518	2661
545	1521	2658
546	1524	2655
547	1526	2652
548	1529	2649
549	1532	2646
550	1535	2644
551	1537	2641
552	1540	2637
553	1543	2634
554	1545	2632
555	1548	2629
556	1551	2626
557	1554	2623
558	1557	2621
559	1559	2618
560	1562	2615
561	1565	2612
562	1567	2609
563	1570	2606
564	1573	2604
565	1576	2601
566	1579	2598
567	1581	2595
568	1584	2592
569	1587	2590
570	1590	2587
571	1593	2585
572	1595	2581
573	1598	2579
574	1601	2576
575	1604	2573
576	1606	2570
577	1609	2567
578	1612	2564
579	1614	2561
580	1617	2558
581	1620	2555
582	1623	2552
583	1625	2549
584	1628	2546
585	1630	2543
586	1633	2541
587	1636	2538
588	1639	2535
589	1641	2532
590	1644	2530
591	1647	2527
592	1650	2524
593	1653	2521
594	1656	2519
595	1658	2515
596	1661	2512
597	1664	2510
598	1667	2507
599	1669	2504
600	1672	2501
601	1675	2498
602	1677	2495
603	1680	2492
604	1683	2489
605	1685	2487
606	1688	2484
607	1691	2481
608	1694	2478
609	1696	2475
610	1699	2472
611	1702	2470
612	1705	2467
613	1707	2464
614	1710	2461
615	1713	2458
616	1715	2455
617	1718	2452
618	1721	2450
619	1724	2447
620	1727	2444
621	1729	2442
622	1732	2439
623	1735	2436
624	1738	2433
625	1741	2431
626	1744	2428
627	1746	2425
628	1749	2422
629	1752	2419
630	1754	2416
631	1757	2413
632	1760	2411
633	1762	2407
634	1765	2405
635	1768	2402
636	1771	2400
637	1774	2397
638	1776	2394
639	1779	2391
640	1782	2388
641	1785	2385
642	1788	2383
643	1790	2380
644	1793	2377
645	1796	2374
646	1798	2371
647	1801	2368
648	1804	2365
649	1807	2363
650	1809	2360
651	1812	2357
652	1815	2354
653	1817	2351
654	1820	2349
655	1823	2346
656	1826	2343
657	1828	2340
658	1831	2337
659	1834	2334
660	1837	2331
661	1839	2328
662	1842	2326
663	1845	2323
664	1848	2320
665	1850	2317
666	1853	2314
667	1855	2311
668	1858	2308
669	1861	2305
670	1864	2302
671	1866	2300
672	1869	2297
673	1872	2295
674	1875	2292
675	1878	2289
676	1880	2286
677	1883	2283
678	1886	2280
679	1888	2277
680	1891	2274
681	1894	2271
682	1897	2269
683	1899	2266
684	1902	2263
685	1905	2261
686	1908	2258
687	1911	2255
688	1913	2252
689	1916	2249
690	1919	2246
691	1921	2243
692	1924	2241
693	1927	2238
694	1930	2235
695	1932	2232
696	1935	2230
697	1938	2227
698	1941	2224
699	1944	2221
700	1946	2218
701	1949	2216
702	1952	2213
703	1954	2210
704	1957	2207
705	1960	2204
706	1963	2202
707	1965	2199
708	1968	2196
709	1971	2193
710	1974	2191
711	1977	2188
712	1980	2185
713	1982	2182
714	1985	2180
715	1988	2177
716	1991	2174
717	1994	2171
718	1996	2169
719	1999	2166
720	2002	2163
721	2004	2160
722	2007	2157
723	2010	2154
724	2013	2152
725	2016	2149
726	2018	2146
727	2021	2143
