iter	RMSE
271	0.4223647961
272	0.4221834561
273	0.4219584257
274	0.4217356852
275	0.42130514
276	0.4211710411
277	0.4209856242
278	0.4208720333
279	0.4204508718
280	0.4202256162
281	0.4198994187
282	0.4196670484
283	0.4194754741
284	0.4191544742
285	0.4189030204
286	0.4186713396
287	0.4183109084
288	0.4180057367
289	0.4178145654
290	0.4175652127
291	0.4170252097
292	0.4168749607
293	0.4166533497
294	0.4163852675
295	0.4158300028
296	0.4156428501
297	0.4151049985
298	0.4148597916
299	0.414749678
300	0.4144913706
301	0.4143545946
302	0.4141411469
303	0.4138735411
304	0.4134940651
305	0.4132657769
306	0.4129661638
307	0.4127333997
308	0.4124697421
309	0.4124323836
310	0.4122586845
311	0.4121597768
312	0.4121123064
313	0.4118751417
314	0.4116578847
315	0.411491154
316	0.4112513694
317	0.4110034091
318	0.4107091134
319	0.4105589357
320	0.4103025274
321	0.4101848582
322	0.4099577632
323	0.4098441957
324	0.4097090424
325	0.4095379715
326	0.409356988
327	0.4092483093
328	0.4090472279
329	0.4087877683
330	0.4086099878
331	0.4083696246
332	0.4082953129
333	0.4080896643
334	0.4079337088
335	0.4077300076
336	0.4075336705
337	0.4072339646
338	0.4069874409
339	0.4067816447
340	0.4066020661
341	0.4064189749
342	0.4062690037
343	0.4061757091
344	0.405994328
345	0.4058097125
346	0.4056508268
347	0.4054957229
348	0.405343144
349	0.4052672247
350	0.4051787684
351	0.4050353503
352	0.4049103097
353	0.4045370497
354	0.404391644
355	0.4041498135
356	0.4039389093
357	0.4037618984
358	0.4035780216
359	0.4032727925
360	0.4030747335
361	0.4029227496
362	0.4027302823
363	0.4025143435
364	0.4023133283
365	0.4021242283
366	0.4018771955
367	0.4016997375
368	0.4016073009
369	0.4014310263
370	0.4012756614
371	0.4011950139
372	0.401047644
373	0.4007757298
374	0.4006425549
375	0.4003498099
376	0.3999963478
377	0.399810378
378	0.3995900616
379	0.3993767696
380	0.3992436505
381	0.3990719528
382	0.3988313612
383	0.3986501063
384	0.3985001562
385	0.3983047937
386	0.3981294201
387	0.3979977897
388	0.3978721442
389	0.397661294
390	0.3973309734
391	0.3971909584
392	0.3969872315
393	0.3968236219
394	0.3966036227
395	0.3963617802
396	0.3962238213
397	0.3961435313
398	0.3960018074
399	0.3957684109
400	0.395624526
401	0.3954652364
402	0.3952730015
403	0.3950203803
404	0.3947955616
405	0.3946106556
406	0.3945347631
407	0.3943962854
408	0.3941707092
409	0.3940197553
410	0.3938688841
411	0.3937006729
412	0.393556703
413	0.3934619268
414	0.3933432309
415	0.3931778104
416	0.393056747
417	0.3928604017
418	0.3927706358
419	0.3926443964
420	0.3924445736
421	0.3922910338
422	0.392201326
423	0.3920418375
424	0.3919001003
425	0.391630565
426	0.3914208955
427	0.3911674279
428	0.3909796772
429	0.3908039681
430	0.3903931514
431	0.3900950074
432	0.3898464801
433	0.3896598166
434	0.3894683273
435	0.3892939244
436	0.3891750093
437	0.3890103588
438	0.3888123283
439	0.3887048372
440	0.3885157202
441	0.388204356
442	0.3880758787
443	0.3879788861
444	0.3879190788
445	0.3876766222
446	0.3873935417
447	0.3872113282
448	0.3871550047
449	0.3870701573
450	0.3870482277
451	0.3868442707
452	0.3866758504
453	0.3864853106
454	0.3863156301
455	0.3861581345
456	0.385902972
457	0.3856940722
458	0.3853566926
459	0.3852171733
460	0.3850001272
461	0.3849656962
462	0.3848531511
463	0.3847578999
464	0.3845576405
465	0.3845311962
466	0.3843705084
467	0.3842592714
468	0.3840578427
469	0.3838602026
470	0.3837152415
471	0.3834618228
472	0.3833710344
473	0.3831905751
474	0.3828993517
475	0.3827394408
476	0.382552772
477	0.382386857
478	0.3821490717
479	0.3820287736
480	0.3818215589
481	0.381723654
482	0.3815625646
483	0.3813615396
484	0.3809516235
485	0.3807853876
486	0.3805192742
487	0.3803359143
488	0.3801435269
489	0.3800916285
490	0.379910157
491	0.3797148017
492	0.3796078954
493	0.3795661629
494	0.3792943933
495	0.3791314476
496	0.3787649257
497	0.3785680638
498	0.3785521368
499	0.378436274
500	0.378264564
501	0.378150285
502	0.3779698767
503	0.3777775427
504	0.3777502706
505	0.3776921868
506	0.3775598239
507	0.3773276138
508	0.3771765782
509	0.3770159259
510	0.3768967658
511	0.3767883795
512	0.3766253287
513	0.3763451357
514	0.3761615427
515	0.3758469812
516	0.3756693406
517	0.3755306437
518	0.375390168
519	0.3752054425
520	0.3750101711
521	0.3748004124
522	0.3747203281
523	0.3745724303
524	0.3744756425
525	0.3743581805
526	0.374216366
527	0.3740244659
528	0.3738788141
529	0.3736855367
530	0.3735272342
531	0.3734475121
532	0.3732812705
533	0.3731101696
534	0.3729464945
535	0.3727662926
536	0.3726041172
537	0.3724936272
538	0.3723763635
539	0.3721689474
540	0.3720616841
541	0.3719598306
542	0.3718003312
543	0.3715932583
544	0.3714294265
545	0.3712236676
546	0.3710518501
547	0.370892206
548	0.3707485017
549	0.3705942756
550	0.370454074
551	0.3703789665
552	0.3702455412
553	0.3701015758
554	0.3699952174
555	0.3698715216
556	0.3697620706
557	0.3696416745
558	0.3695449572
559	0.3693654436
560	0.3691675034
561	0.3690335582
562	0.3688754417
563	0.3687162605
564	0.3685076682
565	0.368389791
566	0.3682723762
567	0.3681484512
568	0.3680625214
569	0.3679661773
570	0.3678107671
571	0.3677036551
572	0.3675889159
573	0.367272306
574	0.3669848219
575	0.3668268666
576	0.3667222143
577	0.3666278056
578	0.3663922943
579	0.3661545707
580	0.3660260248
581	0.365885686
582	0.3655934816
583	0.3654643516
584	0.3653561083
585	0.3652211819
586	0.3650003408
587	0.3648139398
588	0.3646651563
589	0.3644954276
590	0.3643788503
591	0.3641726402
592	0.3640455865
593	0.3639708549
594	0.363883763
595	0.3636995154
596	0.3634969187
597	0.3633083615
598	0.3632303072
599	0.3630074916
600	0.3628710019
601	0.3627262523
602	0.3625607281
603	0.362416613
604	0.362272261
605	0.3621196188
606	0.3619437916
607	0.3617755136
608	0.3617043611
609	0.3615136194
610	0.3614298565
611	0.361283145
612	0.3611156687
613	0.3610137574
614	0.3608643891
615	0.3607179559
616	0.3605457603
617	0.3604459332
618	0.3603373479
619	0.3601988007
620	0.360127975
621	0.3600193122
622	0.3599565417
623	0.3598122967
624	0.3596524941
625	0.3595344462
626	0.3594182545
627	0.359371659
628	0.3591907003
629	0.3590885419
630	0.3589128998
631	0.3586970405
632	0.3584642231
633	0.3582696438
